Category,Total Search Volume,Average Monthly Volume,Normalized Avg Monthly Volume (%),Peak Volume,Lowest Volume,Total Searches,Normalized Volatility (%),Volume Ratio,Competition Level,Competition Index,Suggested Bid,Winter Variation,Spring Variation,Summer Variation,Fall Variation
Animals & Pet Supplies,70584090,5275.3430493273545,772.3417743099508,1500000,0,70584090,52.852226064651596,4.067702452928714,HIGH,74.23766816143498,0.0,0.0,0.0,0.0,0.0
Apparel & Accessories,350030,303.84548611111114,3088.5962153367996,12100,0,350030,82.50871913328568,4.315341433265785,HIGH,65.98958333333333,0.0,0.0,0.0,0.0,0.0
Arts & Entertainment,268690,254.44128787878788,941.7219723666592,6600,0,268690,93.37972788904557,4.510792788281033,LOW,11.306818181818182,0.0,0.0,0.0,0.0,0.0
Business & Industrial,8780650,1784.6849593495936,2264.011159466267,90500,0,8780650,60.03382218257926,5.22642843762939,LOW,10.924390243902439,0.0,0.0,0.0,0.0,0.0
Cameras & Optics,2330,194.16666666666663,19416.666666666664,390,70,2330,50.13272369500634,5.571428571428571,HIGH,81.0,0.0,0.0,0.0,0.0,0.0
Electronics,43034830,7455.791753291753,40855.23694129305,450000,0,43034830,41.82792970431252,3.6278460346513617,HIGH,60.767151767151766,0.0,0.0,0.0,0.0,0.0
"Food, Beverages & Tobacco",710,59.16666666666666,5916.666666666666,140,20,710,51.55391343898954,7.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,669466670,28304.86512768476,29741.25380905804,2740000,10,669466670,34.77734704978299,3.394967230651575,HIGH,98.00101471334348,0.0,0.0,0.0,0.0,0.0
Hardware,204292510,13674.197456492637,15864.671412487744,6120000,0,204292510,28.65476188266495,2.663846401399244,HIGH,87.88835341365461,0.0,0.0,0.0,0.0,0.0
Health & Beauty,4775960,456.9422120168389,1288.3452009406844,60500,0,4775960,79.79853012386906,3.522557335841134,HIGH,48.72904707233065,0.0,0.0,0.0,0.0,0.0
Home & Garden,31999950,5899.695796460177,5739.547520064242,823000,0,31999950,48.667046917522775,4.820477807592932,HIGH,77.90707964601769,0.0,0.0,0.0,0.0,0.0
Luggage & Bags,66945410,3658.21912568306,908.0228607578734,1000000,0,66945410,42.03930687692924,3.9640819865113555,HIGH,93.78557377049181,0.0,0.0,0.0,0.0,0.0
Mature,1118330,15532.36111111111,1336808.2539105339,90500,170,1118330,22.465467406882812,2.105347075016193,LOW,0.0,0.0,0.0,0.0,0.0,0.0
Media,1721420,8965.729166666666,695314.309082397,135000,260,1721420,19.30682458840084,1.7739668544314309,LOW,3.1875,0.0,0.0,0.0,0.0,0.0
Office Supplies,29200630,1630.955652368186,9663.578924805299,301000,0,29200630,59.77806541909161,4.061971007837682,HIGH,76.55361930294906,0.0,0.0,0.0,0.0,0.0
Religious & Ceremonial,131510,684.9479166666666,2461.0275239338553,4400,0,131510,54.33287089633671,1.7028338340299547,LOW,5.0625,0.0,0.0,0.0,0.0,0.0
Software,301862990,17665.2030664794,30695.451615220223,7480000,0,301862990,36.63573475170715,3.0470405829079876,LOW,22.07935393258427,0.0,0.0,0.0,0.0,0.0
Sporting Goods,323339290,112740.33821478381,100462.50995349014,7480000,0,323339290,58.97486695575466,4.616727286862795,LOW,47.24686192468619,0.0,0.0,0.0,0.0,0.0
Toys & Games,57654530,3759.424230568597,773.4320156956852,2240000,0,57654530,54.2961479430871,5.413138102560836,HIGH,85.23630672926447,0.0,0.0,0.0,0.0,0.0
Vehicles & Parts,156786400,6815.614675708573,189.81914236498278,1220000,0,156786400,45.067863331496625,3.744452295428692,HIGH,77.96452790818988,0.0,0.0,0.0,0.0,0.0
